date,open,close,high,low,volume,Name
2020-01-01,150.0,150.0,151.74261892768828,148.83890577660594,803322,AAPL
2020-01-02,156.31163762916898,156.31163762916898,156.48636722464533,155.7059922969157,828551,AAPL
2020-01-03,152.95427330664356,152.95427330664356,153.58818394311257,152.84521466103652,675954,AAPL
2020-01-06,156.1943373205394,156.1943373205394,158.167822561338,156.1259859038853,810102,AAPL
2020-01-07,154.64624384963378,154.64624384963378,156.27743203345065,153.3508400244451,1194833,AAPL
2020-01-08,156.24310289427478,156.24310289427478,156.5776118416681,152.8286788466221,1631517,AAPL
2020-01-09,155.71907258836507,155.71907258836507,156.92179948564956,155.29648109554367,997643,AAPL
2020-01-10,157.48129150600394,157.48129150600394,158.74947285102073,154.75509106740975,821861,AAPL
2020-01-13,155.45827232610168,155.45827232610168,157.093396563765,154.19710454630223,471895,AAPL
2020-01-14,157.64038447385153,157.64038447385153,158.72555188156397,155.84004691999462,711699,AAPL
2020-01-15,154.00587672452667,154.00587672452667,156.41531355563052,153.45601649839483,1384342,AAPL
2020-01-16,155.6669946888011,155.6669946888011,157.76499662641382,153.5508910879638,1248668,AAPL
2020-01-17,157.7235448342196,157.7235448342196,158.52521007825027,157.0572661499462,988433,AAPL
2020-01-20,156.35374592202027,156.35374592202027,156.4665260648008,156.0796117087022,1543285,AAPL
2020-01-21,160.317931905071,160.317931905071,160.53608242214193,158.71221708273896,680983,AAPL
2020-01-22,165.91740974521738,165.91740974521738,166.90625384313307,162.80621611412656,1072828,AAPL
2020-01-23,161.92299527629754,161.92299527629754,162.06436999478734,160.42658359039478,1434095,AAPL
2020-01-24,159.4688489119257,159.4688489119257,159.53683885144693,159.02322253366276,417497,AAPL
2020-01-27,160.37169330898217,160.37169330898217,162.89902610335585,159.94439782419843,1239175,AAPL
2020-01-28,159.68338585564373,159.68338585564373,161.52381984655867,157.58939905624973,917777,AAPL
2020-01-29,157.0726676894921,157.0726676894921,159.00640324574724,154.0247215506373,1287767,AAPL
2020-01-30,160.83278350333646,160.83278350333646,160.8836275678204,157.12627533424774,320952,AAPL
2020-01-31,161.44469184271952,161.44469184271952,162.72529139807415,160.4704972013419,711047,AAPL
2020-02-03,161.5471766867791,161.5471766867791,161.94545615262433,161.5025985490069,992072,AAPL
2020-02-04,158.62768146784768,158.62768146784768,159.9396077459581,158.57205278423464,1189065,AAPL
2020-02-05,158.69725639814823,158.69725639814823,159.8370073060304,154.35326750108766,1116343,AAPL
2020-02-06,163.10831394290483,163.10831394290483,163.96693376360707,163.01691821426195,531561,AAPL
2020-02-07,171.30836386423357,171.30836386423357,174.34681198289002,168.3223332155518,873067,AAPL
2020-02-10,172.6607161310214,172.6607161310214,175.0408959970522,171.3330797467828,562036,AAPL
2020-02-11,167.39885266672832,167.39885266672832,167.52637054066412,166.1474309027597,1276958,AAPL
2020-02-12,167.41220998409491,167.41220998409491,168.6276453880718,167.178611636306,1060984,AAPL
2020-02-13,167.722598967962,167.722598967962,168.82799950546493,165.10870251763745,832750,AAPL
2020-02-14,173.15669459620094,173.15669459620094,174.95145065780613,169.82077538507156,984827,AAPL
2020-02-17,168.22739809264715,168.22739809264715,168.30833087931046,167.16329081585667,1238063,AAPL
2020-02-18,172.6479852182613,172.6479852182613,173.0967490304898,169.97542709323108,1832789,AAPL
2020-02-19,175.47481538399816,175.47481538399816,176.5011126680359,173.17485830000962,2230944,AAPL
2020-02-20,176.443552789201,176.443552789201,178.58381388440688,173.2961808010502,1296589,AAPL
2020-02-21,177.9436605716905,177.9436605716905,180.85128351933548,175.92475928351143,917700,AAPL
2020-02-24,183.87446036846157,183.87446036846157,184.4800821670919,183.0751652547011,1101092,AAPL
2020-02-25,177.1490990457595,177.1490990457595,177.23927005192436,175.25731740995357,1103765,AAPL
2020-02-26,180.03058078080196,180.03058078080196,181.7844547809343,179.5706509987348,1405853,AAPL
2020-02-27,184.31822835679884,184.31822835679884,187.6069111703783,181.44524858931592,-37993,AAPL
2020-02-28,188.10237684000109,188.10237684000109,190.89141749820894,187.7724015033394,786398,AAPL
2020-03-02,180.70409530659143,180.70409530659143,181.10414930480323,180.6933557974918,880362,AAPL
2020-03-03,176.40995439320994,176.40995439320994,176.73392216068203,176.36566698779535,1018154,AAPL
2020-03-04,178.2891327681706,178.2891327681706,180.5261867075946,177.1769144439123,100027,AAPL
2020-03-05,181.21688668499388,181.21688668499388,186.05491029025933,180.4178337436415,1029296,AAPL
2020-03-06,185.04006799505672,185.04006799505672,185.72350076453156,183.78531201132773,925745,AAPL
2020-03-09,188.688010731232,188.688010731232,190.71843158527193,187.72559496575275,1830450,AAPL
2020-03-10,192.92321245985926,192.92321245985926,193.6554475637587,190.63643434294607,-42345,AAPL
2020-03-11,193.4142449759493,193.4142449759493,195.0775284772533,191.17407094422444,202377,AAPL
2020-03-12,195.84550196382636,195.84550196382636,196.5697230576085,195.42361125672647,540665,AAPL
2020-03-13,195.35284709727804,195.35284709727804,197.15864915216392,193.1839433102761,1489170,AAPL
2020-03-16,192.971695875766,192.971695875766,196.65915326844822,192.55288649630177,820201,AAPL
2020-03-17,194.46477613712224,194.46477613712224,197.4533135075481,192.82975519194278,2137384,AAPL
2020-03-18,188.5709231994291,188.5709231994291,190.14288273332295,186.56108209053446,1126705,AAPL
2020-03-19,194.39412069496942,194.39412069496942,194.53286831984457,190.68754645374256,1624356,AAPL
2020-03-20,191.6117579727104,191.6117579727104,193.9902956371441,190.81902813739993,1114410,AAPL
2020-03-23,190.46319283734812,190.46319283734812,191.62366014208447,187.968621446799,1271423,AAPL
2020-03-24,188.14349005550864,188.14349005550864,188.7208328994871,188.04901377392034,257962,AAPL
2020-03-25,187.9625858143598,187.9625858143598,189.57529404834722,184.95525235759112,1026282,AAPL
2020-03-26,193.16339649820742,193.16339649820742,193.9808124023877,191.5227095769068,1149812,AAPL
2020-03-27,198.9608334144313,198.9608334144313,204.8433422930388,196.59235692431187,1260864,AAPL
2020-03-30,196.10504234328747,196.10504234328747,198.36965781981652,195.22439812676777,919397,AAPL
2020-03-31,196.17078497232788,196.17078497232788,198.70015137551593,194.2039689031053,722846,AAPL
2020-04-01,198.0937148613308,198.0937148613308,200.672513812785,196.93120627227879,1520251,AAPL
2020-04-02,190.74989317472102,190.74989317472102,192.03809044438992,190.54867646061263,378883,AAPL
2020-04-03,189.7002284207169,189.7002284207169,191.33140891006457,189.05538769354197,514421,AAPL
2020-04-06,182.2501988962928,182.2501988962928,183.98663639714024,181.91427536495866,1139904,AAPL
2020-04-07,178.9305905876971,178.9305905876971,181.16215940932548,177.4205125832116,1319580,AAPL
2020-04-08,181.73160071481212,181.73160071481212,183.76162936951786,180.06592509282623,1567985,AAPL
2020-04-09,182.11078023582454,182.11078023582454,185.0066253173281,182.0374899867828,1249072,AAPL
2020-04-10,181.2000306493085,181.2000306493085,181.640972495629,176.54146028579913,1690948,AAPL
2020-04-13,180.39179268653473,180.39179268653473,183.27016103901553,180.0647609454622,606732,AAPL
2020-04-14,181.81987580868426,181.81987580868426,184.9898069861848,181.00336186529225,1557695,AAPL
2020-04-15,183.08180312007798,183.08180312007798,184.30533791412006,179.65158101704696,905538,AAPL
2020-04-16,187.61329796601123,187.61329796601123,188.17827157015455,184.46343817997752,597474,AAPL
2020-04-17,188.84746347973513,188.84746347973513,192.22139946846812,188.8131399515792,1399581,AAPL
2020-04-20,186.716451754577,186.716451754577,187.03140132916454,185.7639243117132,1848675,AAPL
2020-04-21,187.8866270613897,187.8866270613897,190.46945754951054,186.79511239638273,885368,AAPL
2020-04-22,186.4477896718574,186.4477896718574,186.50142953197624,186.40082252328844,1592690,AAPL
2020-04-23,189.34127412366175,189.34127412366175,190.91398236149104,187.43053386477968,1296022,AAPL
2020-04-24,187.05239178396536,187.05239178396536,187.28882132344623,184.48991022285432,937589,AAPL
2020-04-27,190.63064377277644,190.63064377277644,190.7376916083388,189.5306506174219,625372,AAPL
2020-04-28,188.28167197205042,188.28167197205042,188.52248752393174,187.78838246465878,552388,AAPL
2020-04-29,190.52031787146183,190.52031787146183,192.12412931728784,190.2637354573774,1495710,AAPL
2020-04-30,193.48769047448695,193.48769047448695,197.2902203730119,191.7486118005934,504108,AAPL
2020-05-01,197.3181947187259,197.3181947187259,200.4877630015947,196.05531872064512,1194160,AAPL
2020-05-04,195.101216920594,195.101216920594,196.76392335665744,193.34972806828665,269137,AAPL
2020-05-05,192.7888278481715,192.7888278481715,193.0277844429489,191.3711247572718,417803,AAPL
2020-05-06,193.7380931592011,193.7380931592011,195.619068439766,193.11495775760093,1070545,AAPL
2020-05-07,195.86596237916308,195.86596237916308,197.5155049247051,193.29212602190754,893718,AAPL
2020-05-08,193.1742249246307,193.1742249246307,194.0383108184532,192.49317074180178,996804,AAPL
2020-05-11,193.52486205805772,193.52486205805772,196.0291151206254,193.51378870836388,1557393,AAPL
2020-05-12,192.52195762716877,192.52195762716877,193.1652145302422,190.77518998900453,-119934,AAPL
